SMILES	CANSMILES	price(100mg)	source
BrC1=C(C=CC(=C1)OC)F	COc1ccc(F)c(Br)c1	1.08	有机化学清单
BrC1=C(C=CC=C1)C1OCCO1	Brc1ccccc1C1OCCO1	2.4	有机化学清单
BrC1=C(C=CC=C1)N1C2=CC=CC=C2C2=CC=CC=C12	Brc1ccccc1-n1c2ccccc2c2ccccc21	8	有机化学清单
BrC1=C(C=CN=C1)O	Oc1ccncc1Br	9.2	有机化学清单
BrC1=C(C=NC=C1)O	Oc1cnccc1Br	4.5	现货目录
BrC1=C(C=O)C(=CC=C1)O	O=Cc1c(O)cccc1Br	2.1	有机化学清单
BrC1=C(C=O)C=C(C(=C1)OC)O	COc1cc(Br)c(C=O)cc1O	2	有机化学清单
BrC1=C(C=O)C=C(C=C1)Cl	O=Cc1cc(Cl)ccc1Br	0.46	有机化学清单
BrC1=C(C=O)C=C(C=C1)O	O=Cc1cc(O)ccc1Br	0.54	有机化学清单
BrC1=C(C=O)C=CC=C1Cl	O=Cc1cccc(Cl)c1Br	22	有机化学清单
BrC1=C(CBr)C=CC(=C1)F	Fc1ccc(CBr)c(Br)c1	2.9	有机化学清单
BrC1=C(CC(O)=O)C=C(Br)C=C1	O=C(O)Cc1cc(Br)ccc1Br	1.9	现货目录
BrC1=C(CO)C(Br)=CC=C1	OCc1c(Br)cccc1Br	5	现货目录
BrC1=C(CO)C=CC(F)=C1	OCc1ccc(F)cc1Br	1.6	现货目录
BrC1=C(Cl)C(B(O)O)=C(F)C=C1	OB(O)c1c(F)ccc(Br)c1Cl	16.8	现货目录
BrC1=C(Cl)C(Br)=CC(C(C)(C)C)=C1	CC(C)(C)c1cc(Br)c(Cl)c(Br)c1	3.6	有机化学清单
BrC1=C(F)C=C(C(O)=O)C(Cl)=C1	O=C(O)c1cc(F)c(Br)cc1Cl	2.4	现货目录
BrC1=C(F)C=C(C(O)=O)C=C1	O=C(O)c1ccc(Br)c(F)c1	1.6	现货目录
BrC1=C(F)C=C(CC(O)=O)C=C1	O=C(O)Cc1ccc(Br)c(F)c1	2.8	现货目录
BrC1=C(F)C=CC(C(O)=O)=C1	O=C(O)c1ccc(F)c(Br)c1	1.6	现货目录
BrC1=C(F)C=CC=C1N	Nc1cccc(F)c1Br	2.1	现货目录
BrC1=C(N)C(=CC(=C1)Cl)C(F)(F)F	Nc1c(Br)cc(Cl)cc1C(F)(F)F	1.64	有机化学清单
BrC1=C(N)C(=CC(=C1)OC(F)(F)F)Br	Nc1c(Br)cc(OC(F)(F)F)cc1Br	1.6	现货目录
BrC1=C(N)C(=CC=C1)C	Cc1cccc(Br)c1N	2.2	现货目录
BrC1=C(N)C(Br)=CC([N+]([O-])=O)=C1	Nc1c(Br)cc([N+](=O)[O-])cc1Br	1.6	现货目录
BrC1=C(N)C(Br)=NC=C1	Nc1c(Br)ccnc1Br	56.6	现货目录
BrC1=C(N)C(C)=CC(C)=N1	Cc1cc(C)c(N)c(Br)n1	11.2	现货目录
BrC1=C(N)C(I)=CC(C(C)(C)C)=C1	CC(C)(C)c1cc(Br)c(N)c(I)c1	18.6	现货目录
BrC1=C(N)C(O)=CC=C1	Nc1c(O)cccc1Br	7	现货目录
BrC1=C(N)C=C(C=C1)Cl	Nc1cc(Cl)ccc1Br	1.6	现货目录
BrC1=C(N)C=C(F)C=C1	Nc1cc(F)ccc1Br	1.6	现货目录
BrC1=C(N)C=C(F)C=N1	Nc1cc(F)cnc1Br	7.2	现货目录
BrC1=C(N)C=CC(=C1F)F	Nc1ccc(F)c(F)c1Br	2	现货目录
BrC1=C(N)C=CC(C#N)=C1	N#Cc1ccc(N)c(Br)c1	1.6	现货目录
BrC1=C(N)C=CC=C1Cl	Nc1cccc(Cl)c1Br	1.9	现货目录
BrC1=C(N=C(S1)N)C(F)(F)F	Nc1nc(C(F)(F)F)c(Br)s1	17.4	现货目录
BrC1=C(N=CN=C1O)O	Oc1ncnc(O)c1Br	1.04	有机化学清单
BrC1=C(N=CN=C1OC)C2CC2	COc1ncnc(C2CC2)c1Br	28	有机化学清单
BrC1=C(N=CS1)C(=O)OC	COC(=O)c1ncsc1Br	10.4	有机化学清单
BrC1=C(O)N=CC(Cl)=C1	Oc1ncc(Cl)cc1Br	2.5	现货目录
BrC1=C(O)N=CC=C1	Oc1ncccc1Br	1.8	现货目录
BrC1=C(OC)C(C)=CC(N)=C1.Cl	COc1c(C)cc(N)cc1Br.Cl	44.1	现货目录
BrC1=C(OC2=CC=CC=C2)C=CC=C1	Brc1ccccc1Oc1ccccc1	16	有机化学清单
BrC1=C(OC=C1)C=O	O=Cc1occc1Br	22.8	有机化学清单
BrC1=C(SC=N1)CO	OCc1scnc1Br	23.3	现货目录
BrC1=C([N+]([O-])=O)C(N)=CC=C1	Nc1cccc(Br)c1[N+](=O)[O-]	1.8	现货目录
BrC1=C([N+]([O-])=O)C=C(C(O)=O)C=C1	O=C(O)c1ccc(Br)c([N+](=O)[O-])c1	2.1	现货目录
BrC1=C2C(=CC=C1)C(=NC=C2)Cl	Clc1nccc2c(Br)cccc12	19.6	有机化学清单
BrC1=C2C(=CC=C1)[NH]N=C2	Brc1cccc2[nH]ncc12	0.98	有机化学清单
BrC1=C2C(C(O)=CC(N2)=O)=CC=C1	O=c1cc(O)c2cccc(Br)c2[nH]1	81.6	现货目录
BrC1=C2C(C3=CC=CC(C4=CC=CC=C4)=C3S2)=CC=C1	Brc1cccc2c1sc1c(-c3ccccc3)cccc12	25	有机化学清单
BrC1=C2C(C3=CC=CC=C3)=CC=CC2=CC=C1	Brc1cccc2cccc(-c3ccccc3)c12	24.8	有机化学清单
BrC1=C2C=CC=CC2=C(B(O)O)C=C1	OB(O)c1ccc(Br)c2ccccc12	3.1	有机化学清单
BrC1=C2C=CC=CC2=CC3=CC=CC=C13	Brc1c2ccccc2cc2ccccc12	0.5	有机化学清单
BrC1=C2C=CC=NC2=CC=C1.[H]Cl	Brc1cccc2ncccc12.Cl	5.1	有机化学清单
BrC1=C2N=C(N)SC2=CC=C1	Nc1nc2c(Br)cccc2s1	3.8	现货目录
BrC1=C2N=CC=CC2=C(N)C=C1	Nc1ccc(Br)c2ncccc12	6.4	现货目录
BrC1=C2N=CC=CC2=CC(N)=N1	Nc1cc2cccnc2c(Br)n1	73.1	现货目录
BrC1=C2N=CC=CN2N=C1	Brc1cnn2cccnc12	10.8	有机化学清单
BrC1=C2OC3=C(C4=CC=CC=C4)C=CC=C3C2=CC=C1	Brc1cccc2c1oc1c(-c3ccccc3)cccc12	9.3	有机化学清单
