smarts	smarts_inner_marked	smarts_marked_oxygen
[c]1([c][n][c][n]2)[c]2[c][c][c][c]1	c12cncnc1[c:2]ccc2	[n]2([c][n][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([c][n][c][n]2)[c]2[c][c][c][c]1	c12cncnc1c[c:2]cc2	[n]2([c][n][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([c][n][c][n]2)[c]2[c][c][c][c]1	c12cncnc1cc[c:2]c2	[n]1([c][n][c][c]2([c][c](#[#8])[c][c][c]12))
[c]1([c][n][c][n]2)[c]2[c][c][c][c]1	c12cncnc1ccc[c:2]2	[n]1([c][n][c][c]2([c](#[#8])[c][c][c][c]12))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12[c:2]cnnc1cccc2	[n]1([n][c][c](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12c[c:2]nnc1cccc2	[n]1([n][c](#[#8])[c][c]2([c]1[c][c][c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12cc[n:2]nc1cccc2	[n]1([n](#[#8])[c][c][c]2([c]1[c][c][c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12ccn[n:2]c1cccc2	[n]1([n](#[#8])[c]2([c]([c][c]1)[c][c][c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12ccnnc1[c:2]ccc2	[n]2([n][c]1([c](#[#8])[c][c][c][c]1[c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12ccnnc1c[c:2]cc2	[n]2([n][c]1([c][c](#[#8])[c][c][c]1[c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12ccnnc1cc[c:2]c2	[n]2([n][c]1([c]([c][c](#[#8])[c][c]1)[c][c]2))
[c]1([c][c][n][n]2)[c]2[c][c][c][c]1	c12ccnnc1ccc[c:2]2	[n]2([n][c]1([c]([c](#[#8])[c][c][c]1)[c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12[c:2]ccnc1nccc2	[n]2([c]1([n][c][c][c](#[#8])[c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12c[c:2]cnc1nccc2	[n]2([c]1([n][c][c](#[#8])[c][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12cc[c:2]nc1nccc2	[n]2([c]1([n][c](#[#8])[c][c][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12ccc[n:2]c1nccc2	[n]2(#[#8])([c]1([n][c][c][c][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12cccnc1[n:2]ccc2	[n]2(#[#8])([c]1([n][c][c][c][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12cccnc1n[c:2]cc2	[n]2([c]1([n][c](#[#8])[c][c][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12cccnc1nc[c:2]c2	[n]2([c]1([n][c][c](#[#8])[c][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][c]1	c12cccnc1ncc[c:2]2	[n]2([c]1([n][c][c][c](#[#8])[c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12[c:2]ccnc1cncn2	[n]2([c][n][c]1([c]([n][c][c][c]1#[#8])[c]2))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12c[c:2]cnc1cncn2	[n]2([c][n][c]1([c]([n][c][c](#[#8])[c]1)[c]2))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12cc[c:2]nc1cncn2	[n]2([c][n][c]1([c]([n][c](#[#8])[c][c]1)[c]2))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12ccc[n:2]c1cncn2	[n]2(#[#8])([c]1([c]([n][c][n][c]1)[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12cccnc1[c:2]ncn2	[n]2([c][n][c](#[#8])[c]1([n][c][c][c][c]12))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12cccnc1c[n:2]cn2	[n]2(#[#8])([c][n][c]1([c]([n][c][c][c]1)[c]2))
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12cccnc1cn[c:2]n2	[n]2([c]([n][c]1([c]([n][c][c][c]1)[c]2))#[#8])
[c]1([c][c][c][n]2)[c]2[c][n][c][n]1	c12cccnc1cnc[n:2]2	[n]2(#[#8])([c][n][c][c]1([n][c][c][c][c]12))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12[c:2]cncc1cncn2	[n]2([c][n][c]1([c](#[#8])[c][n][c][c]1[c]2))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12c[c:2]ncc1cncn2	[n]2([c][n][c]1([c]([c][n][c](#[#8])[c]1)[c]2))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12cc[n:2]cc1cncn2	[n]2(#[#8])([c][c]1([c]([n][c][n][c]1)[c][c]2))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12ccn[c:2]c1cncn2	[n]2([c][n][c]1([c][c][n][c](#[#8])[c]1[c]2))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12ccncc1[c:2]ncn2	[n]2([c][n][c](#[#8])[c]1([c][n][c][c][c]12))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12ccncc1c[n:2]cn2	[n]2(#[#8])([c][n][c]1([c]([c][n][c][c]1)[c]2))
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12ccncc1cn[c:2]n2	[n]2([c]([n][c]1([c]([c][n][c][c]1)[c]2))#[#8])
[c]1([c][c][n][c]2)[c]2[c][n][c][n]1	c12ccncc1cnc[n:2]2	[n]2(#[#8])([c][n][c][c]1([c][n][c][c][c]12))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12[c:2]cncc1nccn2	[n]2([c][c]1([n][c][c][n][c]1[c](#[#8])[c]2))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12c[c:2]ncc1nccn2	[n]2([c](#[#8])[c][c]1([n][c][c][n][c]1[c]2))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12cc[n:2]cc1nccn2	[n]2(#[#8])([c][c]1([n][c][c][n][c]1[c][c]2))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12ccn[c:2]c1nccn2	[n]2([c](#[#8])[c]1([n][c][c][n][c]1[c][c]2))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12ccncc1[n:2]ccn2	[n]1(#[#8])([c][c][n][c]2([c]1[c][n][c][c]2))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12ccncc1n[c:2]cn2	[n]1([c](#[#8])[c][n][c]2([c]1[c][n][c][c]2))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12ccncc1nc[c:2]n2	[n]2([c](#[#8])[c][n][c]1([c][n][c][c][c]12))
[c]1([c][c][n][c]2)[c]2[n][c][c][n]1	c12ccncc1ncc[n:2]2	[n]2(#[#8])([c][c][n][c]1([c][n][c][c][c]12))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12[c:2]ccnc1nccn2	[n]2([c]1([n][c][c][n][c]1[c](#[#8])[c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12c[c:2]cnc1nccn2	[n]2([c]1([n][c][c][n][c]1[c][c](#[#8])[c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12cc[c:2]nc1nccn2	[n]2([c]1([n][c](#[#8])[c][c][c]1[n][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12ccc[n:2]c1nccn2	[n]2(#[#8])([c]1([n][c][c][n][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12cccnc1[n:2]ccn2	[n]2(#[#8])([c]1([n][c][c][c][c]1[n][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12cccnc1n[c:2]cn2	[n]2([c]1([n][c](#[#8])[c][n][c]1[c][c][c]2))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12cccnc1nc[c:2]n2	[n]2([c]1([n][c][c]([n][c]1[c][c][c]2)#[#8]))
[c]1([c][c][c][n]2)[c]2[n][c][c][n]1	c12cccnc1ncc[n:2]2	[n]2(#[#8])([c][c][n][c]1([n][c][c][c][c]12))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12[c:2]ncnc1nccn2	[n]2([c]1([n][c][n][c](#[#8])[c]1[n][c][c]2))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12c[n:2]cnc1nccn2	[n]2(#[#8])([c][n][c]1([n][c][c][n][c]1[c]2))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12cn[c:2]nc1nccn2	[n]2([c]([n][c]1([n][c][c][n][c]1[c]2))#[#8])
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12cnc[n:2]c1nccn2	[n]1(#[#8])([c][n][c][c]2([n][c][c][n][c]12))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12cncnc1[n:2]ccn2	[n]2(#[#8])([c]1([n][c][n][c][c]1[n][c][c]2))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12cncnc1n[c:2]cn2	[n]2([c][n][c]1([n][c](#[#8])[c][n][c]1[c]2))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12cncnc1nc[c:2]n2	[n]2([c]1([n][c][n][c][c]1[n][c](#[#8])[c]2))
[c]1([c][n][c][n]2)[c]2[n][c][c][n]1	c12cncnc1ncc[n:2]2	[n]2(#[#8])([c]1([c]([n][c][n][c]1)[n][c][c]2))
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7:2][#6][#6][#6]1[#7][#6][#6][#6]2	[#6]2([#6][#6]1([#7]([#6][#6][#6][#7]1)[#7]2#[#8]))
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6:2][#6][#6]1[#7][#6][#6][#6]2	[#6]2([#6][#6]1([#7]([#6][#6][#6][#7]1)[#7]2))#[#8]
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6][#6:2][#6]1[#7][#6][#6][#6]2	[#6]2([#6]([#6]1([#7]([#6][#6][#6][#7]1)[#7]2))#[#8])
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6][#6][#6:2]1[#7][#6][#6][#6]2	[#6]2([#6][#6]1([#7]([#6][#6][#6][#7]1)[#7]2)#[#8])
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6][#6][#6]1[#7:2][#6][#6][#6]2	[#6]2([#6][#6]1([#7]([#6][#6][#6][#7]1[#7]2)#[#8]))
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6][#6][#6]1[#7][#6:2][#6][#6]2	[#6]2([#6][#6]([#7][#6]1([#6][#6][#7][#7]12))#[#8])
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6][#6][#6]1[#7][#6][#6:2][#6]2	[#6]2([#6]([#6][#7]1([#6]([#6][#6][#7]1)[#7]2))#[#8])
[#7]1([#7][#6][#6]2)[#6]2[#7][#6][#6][#6]1	[#7]12[#7][#6][#6][#6]1[#7][#6][#6][#6:2]2	[#6]2([#6][#6]([#7]1([#6]([#6][#6][#7]1)[#7]2))#[#8])
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12[n:2]cnc1cncn2	[n]2(#[#8])([c]1([n][c][n][c][c]1[n][c]2))
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12n[c:2]nc1cncn2	[n]1([c]([n][c]2([n][c][n][c][c]12))#[#8])
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12nc[n:2]c1cncn2	[n]1(#[#8])([c][n][c]2([n][c][n][c][c]12))
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12ncnc1[c:2]ncn2	[n]1([c][n][c]2([n][c][n][c](#[#8])[c]12))
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12ncnc1c[n:2]cn2	[n]2(#[#8])([c][n][c]1([n][c][n][c]1[c]2))
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12ncnc1cn[c:2]n2	[n]1([c][n][c]2([n][c]([n][c][c]12)#[#8]))
[c]1([n][c][n]2)[c]2[c][n][c][n]1	c12ncnc1cnc[n:2]2	[n]2(#[#8])([c]1([n][c][n][c]1[c][n][c]2))
[c]1([o][c][c]2)[c]2[c][c][c][c]1	c12o[c:2]cc1cccc2	[o]1([c](#[#8])[c][c]2([c]1[c][c][c][c]2))
[c]1([o][c][c]2)[c]2[c][c][c][c]1	c12oc[c:2]c1cccc2	[o]1([c][c](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([o][c][c]2)[c]2[c][c][c][c]1	c12occc1[c:2]ccc2	[o]2([c]1([c]([c](#[#8])[c][c][c]1)[c][c]2))
[c]1([o][c][c]2)[c]2[c][c][c][c]1	c12occc1c[c:2]cc2	[o]2([c]1([c]([c][c](#[#8])[c][c]1)[c][c]2))
[c]1([o][c][c]2)[c]2[c][c][c][c]1	c12occc1cc[c:2]c2	[o]2([c]1([c][c](#[#8])[c][c][c]1[c][c]2))
[c]1([o][c][c]2)[c]2[c][c][c][c]1	c12occc1ccc[c:2]2	[o]2([c]1([c](#[#8])[c][c][c][c]1[c][c]2))
[c]1([c][o][c]2)[c]2[c][c][c][c]1	c12[c:2]occ1cccc2	[o]1([c](#[#8])[c]2([c]([c]1)[c][c][c][c]2))
[c]1([c][o][c]2)[c]2[c][c][c][c]1	c12co[c:2]c1cccc2	[o]1([c](#[#8])[c]2([c]([c]1)[c][c][c][c]2))
[c]1([c][o][c]2)[c]2[c][c][c][c]1	c12cocc1[c:2]ccc2	[o]2([c][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([c][o][c]2)[c]2[c][c][c][c]1	c12cocc1c[c:2]cc2	[o]2([c][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([c][o][c]2)[c]2[c][c][c][c]1	c12cocc1cc[c:2]c2	[o]2([c][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([c][o][c]2)[c]2[c][c][c][c]1	c12cocc1ccc[c:2]2	[o]2([c][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([c][s][c]2)[c]2[c][c][c][c]1	c12[c:2]scc1cccc2	[s]1([c](#[#8])[c]2([c]([c]1)[c][c][c][c]2))
[c]1([c][s][c]2)[c]2[c][c][c][c]1	c12cs[c:2]c1cccc2	[s]1([c](#[#8])[c]2([c]([c]1)[c][c][c][c]2))
[c]1([c][s][c]2)[c]2[c][c][c][c]1	c12cscc1[c:2]ccc2	[s]2([c][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([c][s][c]2)[c]2[c][c][c][c]1	c12cscc1c[c:2]cc2	[s]2([c][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([c][s][c]2)[c]2[c][c][c][c]1	c12cscc1cc[c:2]c2	[s]2([c][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([c][s][c]2)[c]2[c][c][c][c]1	c12cscc1ccc[c:2]2	[s]2([c][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([c][c][s]2)[c]2[c][c][c][c]1	c12[c:2]csc1cccc2	[s]1([c][c](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([c][c][s]2)[c]2[c][c][c][c]1	c12c[c:2]sc1cccc2	[s]1([c](#[#8])[c][c]2([c]1[c][c][c][c]2))
[c]1([c][c][s]2)[c]2[c][c][c][c]1	c12ccsc1[c:2]ccc2	[s]2([c]1([c](#[#8])[c][c][c][c]1[c][c]2))
[c]1([c][c][s]2)[c]2[c][c][c][c]1	c12ccsc1c[c:2]cc2	[s]2([c]1([c][c](#[#8])[c][c][c]1[c][c]2))
[c]1([c][c][s]2)[c]2[c][c][c][c]1	c12ccsc1cc[c:2]c2	[s]2([c]1([c]([c][c](#[#8])[c][c]1)[c][c]2))
[c]1([c][c][s]2)[c]2[c][c][c][c]1	c12ccsc1ccc[c:2]2	[s]2([c]1([c]([c](#[#8])[c][c][c]1)[c][c]2))
[c]1([o][n][c]2)[c]2[c][c][c][c]1	c12o[n:2]cc1cccc2	[o]1([n](#[#8])[c][c]2([c]1[c][c][c][c]2))
[c]1([o][n][c]2)[c]2[c][c][c][c]1	c12on[c:2]c1cccc2	[o]1([n][c](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([o][n][c]2)[c]2[c][c][c][c]1	c12oncc1[c:2]ccc2	[o]1([n][c][c]2([c](#[#8])[c][c][c][c]12))
[c]1([o][n][c]2)[c]2[c][c][c][c]1	c12oncc1c[c:2]cc2	[o]1([n][c][c]2([c][c](#[#8])[c][c][c]12))
[c]1([o][n][c]2)[c]2[c][c][c][c]1	c12oncc1cc[c:2]c2	[o]1([n][c][c]2([c]1[c][c](#[#8])[c][c]2))
[c]1([o][n][c]2)[c]2[c][c][c][c]1	c12oncc1ccc[c:2]2	[o]1([n][c][c]2([c]1[c](#[#8])[c][c][c]2))
[c]1([n][o][c]2)[c]2[c][c][c][c]1	c12[n:2]occ1cccc2	[o]1([n](#[#8])[c]2([c]([c]1)[c][c][c][c]2))
[c]1([n][o][c]2)[c]2[c][c][c][c]1	c12no[c:2]c1cccc2	[o]1([n][c]2([c]([c]1#[#8])[c][c][c][c]2))
[c]1([n][o][c]2)[c]2[c][c][c][c]1	c12nocc1[c:2]ccc2	[o]2([n][c]1([c]([c](#[#8])[c][c][c]1)[c]2))
[c]1([n][o][c]2)[c]2[c][c][c][c]1	c12nocc1c[c:2]cc2	[o]2([n][c]1([c]([c][c](#[#8])[c][c]1)[c]2))
[c]1([n][o][c]2)[c]2[c][c][c][c]1	c12nocc1cc[c:2]c2	[o]2([n][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([n][o][c]2)[c]2[c][c][c][c]1	c12nocc1ccc[c:2]2	[o]2([n][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([s][n][c]2)[c]2[c][c][c][c]1	c12s[n:2]cc1cccc2	[s]1([n](#[#8])[c][c]2([c]1[c][c][c][c]2))
[c]1([s][n][c]2)[c]2[c][c][c][c]1	c12sn[c:2]c1cccc2	[s]1([n][c](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([s][n][c]2)[c]2[c][c][c][c]1	c12sncc1[c:2]ccc2	[s]1([n][c][c]2([c](#[#8])[c][c][c][c]12))
[c]1([s][n][c]2)[c]2[c][c][c][c]1	c12sncc1c[c:2]cc2	[s]1([n][c][c]2([c][c](#[#8])[c][c][c]12))
[c]1([s][n][c]2)[c]2[c][c][c][c]1	c12sncc1cc[c:2]c2	[s]1([n][c][c]2([c]1[c][c](#[#8])[c][c]2))
[c]1([s][n][c]2)[c]2[c][c][c][c]1	c12sncc1ccc[c:2]2	[s]1([n][c][c]2([c]1[c](#[#8])[c][c][c]2))
[c]1([n][s][c]2)[c]2[c][c][c][c]1	c12[n:2]scc1cccc2	[s]1([n](#[#8])[c]2([c]([c]1)[c][c][c][c]2))
[c]1([n][s][c]2)[c]2[c][c][c][c]1	c12ns[c:2]c1cccc2	[s]1([n][c]2([c]([c]1#[#8])[c][c][c][c]2))
[c]1([n][s][c]2)[c]2[c][c][c][c]1	c12nscc1[c:2]ccc2	[s]2([n][c]1([c]([c](#[#8])[c][c][c]1)[c]2))
[c]1([n][s][c]2)[c]2[c][c][c][c]1	c12nscc1c[c:2]cc2	[s]2([n][c]1([c]([c][c](#[#8])[c][c]1)[c]2))
[c]1([n][s][c]2)[c]2[c][c][c][c]1	c12nscc1cc[c:2]c2	[s]2([n][c]1([c][c](#[#8])[c][c][c]1[c]2))
[c]1([n][s][c]2)[c]2[c][c][c][c]1	c12nscc1ccc[c:2]2	[s]2([n][c]1([c](#[#8])[c][c][c][c]1[c]2))
[c]1([o][c][n]2)[c]2[c][c][c][c]1	c12o[c:2]nc1cccc2	[o]1([c]([n][c]2([c]1[c][c][c][c]2))#[#8])
[c]1([o][c][n]2)[c]2[c][c][c][c]1	c12oc[n:2]c1cccc2	[o]1([c][n](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([o][c][n]2)[c]2[c][c][c][c]1	c12ocnc1[c:2]ccc2	[o]1([c][n][c]2([c](#[#8])[c][c][c][c]12))
[c]1([o][c][n]2)[c]2[c][c][c][c]1	c12ocnc1c[c:2]cc2	[o]1([c][n][c]2([c][c](#[#8])[c][c][c]12))
[c]1([o][c][n]2)[c]2[c][c][c][c]1	c12ocnc1cc[c:2]c2	[o]1([c][n][c]2([c]1[c][c](#[#8])[c][c]2))
[c]1([o][c][n]2)[c]2[c][c][c][c]1	c12ocnc1ccc[c:2]2	[o]1([c][n][c]2([c]1[c](#[#8])[c][c][c]2))
[c]1([s][c][n]2)[c]2[c][c][c][c]1	c12s[c:2]nc1cccc2	[s]1([c]([n][c]2([c]1[c][c][c][c]2))#[#8])
[c]1([s][c][n]2)[c]2[c][c][c][c]1	c12sc[n:2]c1cccc2	[s]1([c][n](#[#8])[c]2([c]1[c][c][c][c]2))
[c]1([s][c][n]2)[c]2[c][c][c][c]1	c12scnc1[c:2]ccc2	[s]1([c][n][c]2([c](#[#8])[c][c][c][c]12))
[c]1([s][c][n]2)[c]2[c][c][c][c]1	c12scnc1c[c:2]cc2	[s]1([c][n][c]2([c][c](#[#8])[c][c][c]12))
[c]1([s][c][n]2)[c]2[c][c][c][c]1	c12scnc1cc[c:2]c2	[s]1([c][n][c]2([c]1[c][c](#[#8])[c][c]2))
[c]1([s][c][n]2)[c]2[c][c][c][c]1	c12scnc1ccc[c:2]2	[s]1([c][n][c]2([c]1[c](#[#8])[c][c][c]2))
[c]1([n][s][n]2)[c]2[c][c][c][c]1	c12[n:2]snc1cccc2	[s]1([n](#[#8])[c]2([c]([n]1)[c][c][c][c]2))
[c]1([n][s][n]2)[c]2[c][c][c][c]1	c12ns[n:2]c1cccc2	[s]1([n](#[#8])[c]2([c]([n]1)[c][c][c][c]2))
[c]1([n][s][n]2)[c]2[c][c][c][c]1	c12nsnc1[c:2]ccc2	[s]1([n][c]2([c]([n]1)[c](#[#8])[c][c][c]2))
[c]1([n][s][n]2)[c]2[c][c][c][c]1	c12nsnc1c[c:2]cc2	[s]1([n][c]2([c]([n]1)[c][c](#[#8])[c][c]2))
[c]1([n][s][n]2)[c]2[c][c][c][c]1	c12nsnc1cc[c:2]c2	[s]1([n][c]2([c]([n]1)[c][c](#[#8])[c][c]2))
[c]1([n][s][n]2)[c]2[c][c][c][c]1	c12nsnc1ccc[c:2]2	[s]1([n][c]2([c]([n]1)[c](#[#8])[c][c][c]2))
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6:2]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]1([#6][#6][#6]2([#6][#6][#6][#7]12)#[#8])
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]12[#6:2][#6][#6][#7]1[#6][#6][#6]2	[#6]1([#6][#6]([#6]2([#6][#6][#6][#7]12))#[#8])
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]12[#6][#6:2][#6][#7]1[#6][#6][#6]2	[#6]1([#6]([#6][#6]2([#6][#6][#6][#7]12))#[#8])
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]12[#6][#6][#6:2][#7]1[#6][#6][#6]2	[#6]1([#6][#6][#6]2([#6][#6][#6]([#7]12)#[#8]))
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]12[#6][#6][#6][#7]1[#6:2][#6][#6]2	[#6]1([#6][#6][#6]2([#6][#6][#6]([#7]12)#[#8]))
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]12[#6][#6][#6][#7]1[#6][#6:2][#6]2	[#6]1([#6]([#6][#6]2([#6][#6][#6][#7]12))#[#8])
[#6]12[#6][#6][#6][#7]1[#6][#6][#6]2	[#6]12[#6][#6][#6][#7]1[#6][#6][#6:2]2	[#6]1([#6][#6]([#6]2([#6][#6][#6][#7]12))#[#8])
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6:2]1[#6]c2:ccccc2[#6]1	[#6]1([#6]([#6][c]2(:[c][c][c][c][c]12))#[#8])
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6]1[#6:2]c2:ccccc2[#6]1	[#6]1([#6][#6](#[#8])[c]2(:[c][c][c][c][c]12))
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6]1[#6]c2:[c:2]cccc2[#6]1	[#6]1([#6][#6][c]2(:[c](#[#8])[c][c][c][c]12))
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6]1[#6]c2:c[c:2]ccc2[#6]1	[#6]1([#6][#6][c]2(:[c][c](#[#8])[c][c][c]12))
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6]1[#6]c2:cc[c:2]cc2[#6]1	[#6]1([#6][#6][c]2([c][c](#[#8])[c][c]:[c]12))
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6]1[#6]c2:ccc[c:2]c2[#6]1	[#6]1([#6][#6][c]2([c](#[#8])[c][c][c]:[c]12))
[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1	[#6]1[#6]c2:ccccc2[#6:2]1	[#6]1([#6][#6](#[#8])[c]2([c]1:[c][c][c][c]2))
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6:2]1[#6]=[#6]c2ccccc2-1	[#6]1(=[#6][#6](#[#8])-[c]2([c]1[c][c][c][c]2))
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6]1[#6:2]=[#6]c2ccccc2-1	[#6]1(=[#6]([#6]-[c]2([c]1[c][c][c][c]2))#[#8])
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6]1[#6]=[#6:2]c2ccccc2-1	[#6]1(=[#6][#6]-[c]2([c]1[c][c][c][c]2))#[#8]
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6]1[#6]=[#6]c2[c:2]cccc2-1	[#6]1(=[#6][#6]-[c]2([c]1[c](#[#8])[c][c][c]2))
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6]1[#6]=[#6]c2c[c:2]ccc2-1	[#6]1(=[#6][#6]-[c]2([c]1[c][c](#[#8])[c][c]2))
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6]1[#6]=[#6]c2cc[c:2]cc2-1	[#6]1(=[#6][#6]-[c]2([c][c](#[#8])[c][c][c]12))
[#6]1[#6]=[#6][c]2[c][c][c][c][c]2-1	[#6]1[#6]=[#6]c2ccc[c:2]c2-1	[#6]1(=[#6][#6]-[c]2([c](#[#8])[c][c][c][c]12))
[#6]1[#6]=[#7][c]2[c][c][c][c][c]2-1	[#6:2]1[#6]=[#7]c2ccccc2-1	[#6]1([#6]=[#7][c]2([c]-1[c][c][c][c]2))#[#8]
[#6]1[#6]=[#7][c]2[c][c][c][c][c]2-1	[#6]1[#6:2]=[#7]c2ccccc2-1	[#6]1([#6](=[#7][c]2([c]-1[c][c][c][c]2))#[#8])
