smiles,ac,amw,mol,is_463
CC(C)(C)OC(=O)N1CCC2(CCCNC2=O)CC1,19,268.35699462890625,CC(C)(C)OC(=O)N1CCC2(CCCNC2=O)CC1,1
CS(N)(=O)=O,5,95.12300109863281,CS(N)(=O)=O,1
N#Cc1ccc(N)cc1,9,118.13899993896484,N#Cc1ccc(N)cc1,1
O=C1CCC(=O)N1,7,99.08899688720703,O=C1CCC(=O)N1,1
C[N+]1([O-])CCOCC1,8,117.14800262451172,C[N+]1([O-])CCOCC1,1
CC(N)=O,4,59.06800079345703,CC(N)=O,1
c1c[nH]cn1,5,68.0790023803711,c1c[nH]cn1,1
O=C1CCCCCN1,8,113.16000366210938,O=C1CCCCCN1,1
CN1CCNCC1,7,100.16500091552734,CN1CCNCC1,0
Cc1ccc2ncoc2c1,10,133.14999389648438,Cc1ccc2ncoc2c1,0
c1cc2[nH]ccc2cn1,9,118.13899993896484,c1cc2[nH]ccc2cn1,0
Cc1ccc(B(O)O)cc1,10,135.95899963378906,Cc1ccc(B(O)O)cc1,0
c1ccc2[nH]ncc2c1,9,118.13899993896484,c1ccc2[nH]ncc2c1,0
c1cnc2cc[nH]c2c1,9,118.13899993896484,c1cnc2cc[nH]c2c1,0
O=C1CCSCC1,7,116.18499755859375,O=C1CCSCC1,0
Oc1ccc(F)cc1,8,112.10299682617188,Oc1ccc(F)cc1,0
O=C1CCCC(=O)O1,8,114.0999984741211,O=C1CCCC(=O)O1,0
c1ccc2[nH]ccc2c1,9,117.1510009765625,c1ccc2[nH]ccc2c1,0
C1=Cc2ccccc2CC1,10,130.19000244140625,C1=Cc2ccccc2CC1,0
c1ccc2[nH]cnc2c1,9,118.13899993896484,c1ccc2[nH]cnc2c1,0
COC(=O)c1cc2sccc2[nH]1,12,181.21600341796875,COC(=O)c1cc2sccc2[nH]1,0
O=C1NC(=O)C2CCCC12,10,139.1540069580078,O=C1NC(=O)C2CCCC12,0
N#CCCS,5,87.14700317382812,N#CCCS,0
COS(=O)(=O)c1ccc(C)cc1,12,186.23199462890625,COS(=O)(=O)c1ccc(C)cc1,0
Cc1ccc(N=C=O)cc1,10,133.14999389648438,Cc1ccc(N=C=O)cc1,0
CCCS(=O)(=O)Cl,7,142.60699462890625,CCCS(=O)(=O)Cl,0
CN1CCCCCC1=O,9,127.18699645996094,CN1CCCCCC1=O,0
Cc1cc[nH]c1,6,81.11799621582031,Cc1cc[nH]c1,0
O=C1CC2(CN1)COC2,9,127.14299774169922,O=C1CC2(CN1)COC2,0
N#Cc1cccs1,7,109.15299987792969,N#Cc1cccs1,0
CC[SiH](CC)CC,7,116.27999877929688,CC[SiH](CC)CC,0
O=S1OCCCO1,7,122.1449966430664,O=S1OCCCO1,0
CB1OCCCO1,7,99.9260025024414,CB1OCCCO1,0
C[SiH](C)Cc1ccccc1,10,150.2969970703125,C[SiH](C)Cc1ccccc1,0
c1ccc2nccnc2c1,10,130.14999389648438,c1ccc2nccnc2c1,0
O=C1CCCCCCC1,9,126.1989974975586,O=C1CCCCCCC1,0
c1ccc2sccc2c1,9,134.2030029296875,c1ccc2sccc2c1,0
CC(C)(C)c1ccc(S)cc1,11,166.28900146484375,CC(C)(C)c1ccc(S)cc1,0
S=C=NCc1ccccc1,10,149.21800231933594,S=C=NCc1ccccc1,0
CCSSCC,6,122.25800323486328,CCSSCC,0
c1ccc2snnc2c1,9,136.1790008544922,c1ccc2snnc2c1,0
c1ccc2c(c1)CCN2,9,119.16699981689453,c1ccc2c(c1)CCN2,0
Cc1ccc2[nH]cnc2c1,10,132.16600036621094,Cc1ccc2[nH]cnc2c1,0
c1ccc2c(c1)OCO2,9,122.12300109863281,c1ccc2c(c1)OCO2,0
Cc1ccc(S(=O)(=O)NN)cc1,12,186.23599243164062,Cc1ccc(S(=O)(=O)NN)cc1,0
c1ncncn1,6,81.0780029296875,c1ncncn1,0
O=C1CCCC(=O)C1,8,112.12799835205078,O=C1CCCC(=O)C1,0
O=C1CCCC(=O)N1,8,113.11599731445312,O=C1CCCC(=O)N1,0
CN1CCCc2ccccc21,11,147.2209930419922,CN1CCCc2ccccc21,0
c1ccc(C2SCCS2)cc1,11,182.31300354003906,c1ccc(C2SCCS2)cc1,0
Brc1ccc2sccc2c1,10,213.0989990234375,Brc1ccc2sccc2c1,0
C[PH](C)=O,4,78.0510025024414,C[PH](C)=O,1
Cc1cccc2nccnc12,11,144.177001953125,Cc1cccc2nccnc12,0
COC(OC)(OC)c1ccccc1,13,182.218994140625,COC(OC)(OC)c1ccccc1,0
ClCc1nc2ccccc2s1,11,183.66299438476562,ClCc1nc2ccccc2s1,0
Cn1cnc2ccccc21,10,132.16600036621094,Cn1cnc2ccccc21,0
O=C=NS(=O)(=O)c1ccccc1,12,183.18800354003906,O=C=NS(=O)(=O)c1ccccc1,0
CC(=O)c1ccc(C)cc1,10,134.17799377441406,CC(=O)c1ccc(C)cc1,0
O=S(=O)(F)Cc1ccccc1,11,174.1959991455078,O=S(=O)(F)Cc1ccccc1,0
C(=Nc1ccccc1)Nc1ccccc1,15,196.2530059814453,C(=Nc1ccccc1)Nc1ccccc1,0
